# H99_CNYTCNYT_counts.txt
# Counts of Ssd1-binding motif CNYTCNYT in Cryptococcus neoformans H99 messenger RNAs
# mRNA sequences taken from Wallace, Maufrais, et al 2020, https://doi.org/10.5281/zenodo.3627875
# Edward Wallace, Edward.Wallace@ed.ac.uk, 2024
#
# Columns
#   id:          Gene id, CNAG_00001 etc.
#   count_5UTR:  CNYTCNYT counts in annotated 5'UTR
#   length_5UTR: length in nt of annotated 5'UTR
#   count_CDS:   CNYTCNYT counts in annotated coding sequence (CDS)
#   length_CDS: length in nt of annotated CDS
#   count_3UTR:  CNYTCNYT counts in annotated 3'UTR
#   length_3UTR: length in nt of annotated 3'UTR
#   count_mRNA:  CNYTCNYT counts in annotated 5'UTR = count_5UTR + count_CDS + count_mRNA
#   length_mRNA: length in nt of annotated mRNA = length_5UTR + length_CDS + length_3UTR
#
id	count_5UTR	length_5UTR	count_CDS	length_CDS	count_3UTR	length_3UTR	count_mRNA	length_mRNA
CNAG_00058	0	72	2	1647	0	42	2	1761
CNAG_00059	0	69	1	792	0	55	1	916
CNAG_00060	0	69	1	1206	0	84	1	1359
CNAG_00061	0	107	3	1395	0	186	3	1688
CNAG_00062	0	59	3	1593	0	154	3	1806
CNAG_00063	2	331	0	480	1	255	3	1066
CNAG_00064	0	135	2	597	1	102	3	834
CNAG_00065	0	86	0	717	0	146	0	949
CNAG_00066	0	401	4	3855	0	316	4	4572
CNAG_00067	0	147	0	213	1	151	1	511
CNAG_00068	1	569	7	1809	0	425	8	2803
CNAG_00069	0	90	3	954	0	644	3	1688
CNAG_00070	2	902	3	1863	4	203	9	2968
CNAG_00072	0	75	6	1236	0	87	6	1398
CNAG_00073	0	149	2	2571	0	376	2	3096
CNAG_00074	0	104	4	1656	0	109	4	1869
CNAG_00075	0	95	0	474	0	64	0	633
CNAG_00076	0	127	0	1716	0	51	0	1894
CNAG_00077	0	226	11	2466	1	161	12	2853
CNAG_00078	0	287	6	3534	1	154	7	3975
CNAG_00079	3	496	1	759	0	127	4	1382
CNAG_00080	0	0	4	1455	2	522	6	1977
CNAG_00081	0	66	1	2829	0	55	1	2950
CNAG_00082	0	55	4	996	0	113	4	1164
CNAG_00083	1	91	2	2931	0	110	3	3132
CNAG_00084	0	43	5	2577	0	116	5	2736
CNAG_00085	0	59	1	627	0	96	1	782
CNAG_00086	0	48	3	2067	0	103	3	2218
CNAG_00087	1	101	6	2049	0	165	7	2315
CNAG_00088	1	64	3	825	0	111	4	1000
CNAG_00089	0	104	2	996	1	103	3	1203
CNAG_00090	0	113	1	1266	1	258	2	1637
CNAG_00091	0	103	1	1605	0	125	1	1833
CNAG_00092	3	76	2	354	0	294	5	724
CNAG_00093	1	93	2	2241	0	125	3	2459
CNAG_00094	0	144	3	1080	0	126	3	1350
CNAG_00095	0	42	11	3498	0	71	11	3611
CNAG_00096	1	74	2	1566	0	50	3	1690
CNAG_00097	0	62	3	1704	1	254	4	2020
CNAG_00098	0	90	0	990	0	79	0	1159
CNAG_00099	0	56	4	2571	0	82	4	2709
CNAG_00100	0	64	4	1755	1	128	5	1947
CNAG_00101	0	23	3	804	0	34	3	861
CNAG_00104	0	214	7	3303	0	214	7	3731
CNAG_00106	0	382	10	3642	0	416	10	4440
CNAG_00107	0	91	6	1671	0	140	6	1902
CNAG_00108	0	42	2	1455	0	84	2	1581
CNAG_00109	0	169	3	390	0	104	3	663
CNAG_00110	0	40	2	1947	0	157	2	2144
CNAG_00111	0	43	6	2286	0	68	6	2397
CNAG_00115	0	93	1	1140	0	167	1	1400
CNAG_00116	1	116	0	759	0	102	1	977
CNAG_00117	0	57	1	1380	0	377	1	1814
CNAG_00118	0	76	6	483	0	53	6	612
CNAG_00119	0	57	0	552	0	76	0	685
CNAG_00120	0	103	0	837	0	165	0	1105
CNAG_00121	2	219	0	1035	0	153	2	1407
CNAG_00122	7	715	3	1686	1	321	11	2722
CNAG_00123	0	147	1	912	0	255	1	1314
CNAG_00124	0	318	4	1656	0	103	4	2077
CNAG_00125	1	1193	0	1923	0	345	1	3461
CNAG_00126	0	57	1	828	1	88	2	973
CNAG_00127	1	97	3	1446	0	187	4	1730
CNAG_00128	1	199	3	3177	0	331	4	3707
CNAG_00129	0	256	3	1323	0	196	3	1775
CNAG_00130	1	837	3	1857	0	203	4	2897
CNAG_00131	0	14	2	1080	0	179	2	1273
CNAG_00132	0	774	4	2148	4	736	8	3658
CNAG_00133	1	133	1	384	0	237	2	754
CNAG_00134	0	87	5	2277	0	249	5	2613
CNAG_00135	0	55	0	414	0	33	0	502
CNAG_00136	0	154	6	3048	0	134	6	3336
CNAG_00137	0	233	4	972	0	315	4	1520
CNAG_00138	1	73	2	972	0	136	3	1181
CNAG_00139	2	144	0	858	0	92	2	1094
CNAG_00140	0	70	0	1308	0	144	0	1522
CNAG_00141	0	54	3	1329	0	52	3	1435
CNAG_00142	0	98	1	2400	0	166	1	2664
CNAG_00143	0	58	5	2451	0	75	5	2584
CNAG_00144	0	67	2	795	0	123	2	985
CNAG_00145	0	49	4	1134	0	84	4	1267
CNAG_00146	1	137	0	1152	0	84	1	1373
CNAG_00147	1	83	9	7596	0	140	10	7819
CNAG_00148	0	49	4	5775	0	156	4	5980
CNAG_00149	0	135	0	282	0	96	0	513
CNAG_00150	4	123	6	2856	0	263	10	3242
CNAG_00151	0	68	6	2469	0	60	6	2597
CNAG_00152	1	28	0	1296	0	161	1	1485
CNAG_00153	0	173	0	1080	2	702	2	1955
CNAG_00154	0	130	1	1380	0	142	1	1652
CNAG_00155	0	13	0	984	0	15	0	1012
CNAG_00156	1	393	5	3285	1	214	7	3892
CNAG_00157	1	111	0	249	1	102	2	462
CNAG_00158	0	148	4	1926	0	79	4	2153
CNAG_00159	0	251	0	204	0	48	0	503
CNAG_00160	0	0	3	1320	0	78	3	1398
CNAG_00161	0	108	3	993	0	65	3	1166
CNAG_00162	0	120	5	1206	1	188	6	1514
CNAG_00163	0	206	4	2454	0	363	4	3023
CNAG_00164	3	168	1	1419	0	221	4	1808
CNAG_00165	0	51	6	996	0	41	6	1088
CNAG_00166	0	20	4	1941	1	92	5	2053
CNAG_00167	0	96	4	2058	1	85	5	2239
CNAG_00171	0	86	3	1260	0	275	3	1621
CNAG_00172	2	258	9	3195	0	142	11	3595
CNAG_00173	0	38	0	1173	0	130	0	1341
CNAG_00174	0	3	7	3678	0	129	7	3810
CNAG_00175	0	210	2	1338	0	40	2	1588
CNAG_00176	0	117	2	1431	0	69	2	1617
CNAG_00177	1	60	5	1593	0	187	6	1840
CNAG_00178	0	134	10	3765	0	98	10	3997
CNAG_00179	3	615	3	1059	0	289	6	1963
CNAG_00180	0	98	1	717	0	57	1	872
CNAG_00181	0	79	3	1518	0	128	3	1725
CNAG_00182	1	74	1	612	0	96	2	782
CNAG_00183	5	1227	1	1176	0	155	6	2558
CNAG_00184	1	332	0	1836	0	72	1	2240
CNAG_00185	1	79	8	1098	0	46	9	1223
CNAG_00186	0	67	0	219	0	96	0	382
CNAG_00187	0	157	2	2124	0	42	2	2323
CNAG_00188	0	79	0	594	0	63	0	736
CNAG_00189	0	192	1	978	0	14	1	1184
CNAG_00190	0	144	8	1638	0	297	8	2079
CNAG_00191	0	118	3	1302	0	389	3	1809
CNAG_00192	0	83	1	3207	0	147	1	3437
CNAG_00193	2	544	7	3834	1	351	10	4729
CNAG_00194	0	112	1	735	0	156	1	1003
CNAG_00195	0	136	1	627	0	107	1	870
CNAG_00229	5	2018	6	1260	0	194	11	3472
CNAG_00231	0	143	2	1284	0	88	2	1515
CNAG_00232	0	64	0	342	0	89	0	495
CNAG_00233	1	110	0	312	0	162	1	584
CNAG_00234	0	115	1	1227	0	58	1	1400
CNAG_00235	0	251	0	1725	0	78	0	2054
CNAG_00236	0	117	5	1344	0	117	5	1578
CNAG_00237	2	111	6	2292	0	92	8	2495
CNAG_00238	0	167	10	3285	0	79	10	3531
CNAG_00239	0	107	3	2103	2	388	5	2598
CNAG_00240	0	53	2	3090	0	155	2	3298
CNAG_00241	0	369	5	1962	0	240	5	2571
CNAG_00242	1	630	0	561	0	226	1	1417
CNAG_00243	0	144	0	606	0	16	0	766
CNAG_00246	0	34	5	2079	0	97	5	2210
CNAG_00247	0	7	8	2835	0	85	8	2927
CNAG_00248	0	61	2	1650	0	89	2	1800
CNAG_00249	4	421	0	1317	0	474	4	2212
CNAG_00250	4	240	3	1323	0	242	7	1805
CNAG_00251	0	67	2	750	0	83	2	900
CNAG_00252	0	95	0	342	0	94	0	531
CNAG_00253	0	65	5	2361	0	97	5	2523
CNAG_00254	2	191	2	1128	0	90	4	1409
CNAG_00255	0	36	0	336	0	306	0	678
CNAG_00256	1	37	0	1104	0	76	1	1217
CNAG_00257	2	501	3	5133	0	53	5	5687
CNAG_00258	0	149	3	3390	0	148	3	3687
CNAG_00259	1	198	0	864	0	82	1	1144
CNAG_00260	0	100	0	858	1	640	1	1598
CNAG_00261	2	162	4	606	3	193	9	961
CNAG_00262	0	414	3	507	1	227	4	1148
CNAG_00263	1	286	0	723	0	179	1	1188
CNAG_00264	0	244	5	1179	1	155	6	1578
CNAG_00265	0	78	3	798	1	230	4	1106
CNAG_00266	0	98	2	798	0	86	2	982
CNAG_00267	2	57	1	1518	0	284	3	1859
CNAG_00268	0	95	4	2157	0	221	4	2473
CNAG_00269	0	72	1	1251	0	167	1	1490
CNAG_00270	0	52	0	393	0	61	0	506
CNAG_00271	0	325	0	759	0	315	0	1399
CNAG_00272	3	204	11	5193	0	82	14	5479
CNAG_00273	1	75	0	507	0	569	1	1151
CNAG_00274	0	48	3	1845	0	80	3	1973
CNAG_00275	0	104	2	954	0	417	2	1475
CNAG_00276	0	87	2	735	0	59	2	881
CNAG_00277	1	107	0	609	0	79	1	795
CNAG_00278	0	122	0	975	0	65	0	1162
CNAG_00279	0	82	1	753	0	69	1	904
CNAG_00280	0	142	1	804	0	106	1	1052
CNAG_00283	0	5	7	1425	1	175	8	1605
CNAG_00284	0	230	3	1641	0	49	3	1920
CNAG_00285	1	924	4	3669	0	216	5	4809
CNAG_00286	0	162	0	1620	0	238	0	2020
CNAG_00287	0	116	0	1017	0	94	0	1227
CNAG_00288	0	111	1	645	0	56	1	812
CNAG_00289	0	141	2	669	0	52	2	862
CNAG_00290	0	78	3	1551	0	132	3	1761
CNAG_00291	2	313	3	1182	0	146	5	1641
CNAG_00292	2	157	5	1575	1	156	8	1888
CNAG_00293	2	213	0	651	0	213	2	1077
CNAG_00294	0	51	2	1884	0	69	2	2004
CNAG_00295	0	0	4	1032	0	0	4	1032
CNAG_00299	1	74	5	3609	0	115	6	3798
CNAG_00300	0	33	5	2736	0	857	5	3626
CNAG_00301	0	46	1	819	1	190	2	1055
CNAG_00302	2	341	0	693	0	208	2	1242
CNAG_00303	0	282	1	1530	0	158	1	1970
CNAG_00304	0	16	0	474	0	30	0	520
CNAG_00305	0	45	3	996	0	183	3	1224
CNAG_00306	0	171	0	552	0	126	0	849
CNAG_00307	1	91	0	159	0	101	1	351
CNAG_00308	1	47	1	1722	0	60	2	1829
CNAG_00309	0	48	6	2772	0	148	6	2968
CNAG_00310	0	63	6	1542	0	37	6	1642
CNAG_00311	0	328	2	1551	0	68	2	1947
CNAG_00312	0	234	2	726	1	94	3	1054
CNAG_00313	0	7	8	2604	0	59	8	2670
CNAG_00314	0	286	1	1155	0	120	1	1561
CNAG_00315	1	148	1	675	0	174	2	997
CNAG_00316	1	129	0	570	0	208	1	907
CNAG_00317	0	90	2	1335	0	55	2	1480
CNAG_00318	0	57	0	477	0	112	0	646
CNAG_00319	0	63	1	798	0	235	1	1096
CNAG_00320	0	24	7	2241	0	122	7	2387
CNAG_00321	0	110	5	3996	0	35	5	4141
CNAG_00322	0	40	1	1143	0	71	1	1254
CNAG_00323	0	9	0	288	0	497	0	794
CNAG_00326	0	71	1	1473	0	141	1	1685
CNAG_00327	1	106	2	390	0	136	3	632
CNAG_00328	0	91	0	3816	0	64	0	3971
CNAG_00329	1	56	1	480	0	110	2	646
CNAG_00330	1	401	2	1629	0	220	3	2250
CNAG_00331	1	143	4	1476	0	123	5	1742
CNAG_00332	0	562	5	3120	0	47	5	3729
CNAG_00333	1	169	0	1011	0	37	1	1217
CNAG_00334	0	95	6	1845	0	200	6	2140
CNAG_00335	0	67	4	1200	0	188	4	1455
CNAG_00337	0	612	1	2463	1	421	2	3496
CNAG_00342	0	51	5	2382	0	309	5	2742
CNAG_00343	2	182	2	1176	0	128	4	1486
CNAG_00344	0	170	2	2805	0	51	2	3026
CNAG_00345	0	29	2	1053	0	71	2	1153
CNAG_00346	0	24	1	513	0	172	1	709
CNAG_00347	0	111	5	4362	0	60	5	4533
CNAG_00348	0	15	4	1590	0	67	4	1672
CNAG_00349	2	249	3	1095	0	58	5	1402
CNAG_00351	0	110	1	552	0	104	1	766
CNAG_00352	4	116	4	1218	0	29	8	1363
CNAG_00353	0	89	2	918	0	85	2	1092
CNAG_00354	1	84	3	1887	0	223	4	2194
CNAG_00355	0	28	0	906	0	82	0	1016
CNAG_00356	1	65	3	1275	0	243	4	1583
CNAG_00357	0	220	2	969	0	74	2	1263
CNAG_00358	0	52	3	1656	0	31	3	1739
CNAG_00359	1	239	2	1056	0	104	3	1399
CNAG_00360	1	160	1	1317	0	86	2	1563
CNAG_00361	1	94	2	1296	0	157	3	1547
CNAG_00362	1	106	4	1575	0	65	5	1746
CNAG_00363	1	696	10	4866	1	217	12	5779
CNAG_00364	0	103	0	1101	0	117	0	1321
CNAG_00365	0	39	1	1734	0	113	1	1886
CNAG_00366	0	0	5	1974	0	294	5	2268
CNAG_00367	0	65	0	573	1	208	1	846
CNAG_00368	0	77	2	2409	0	49	2	2535
CNAG_00369	2	166	0	1092	0	140	2	1398
CNAG_00370	0	60	1	390	0	111	1	561
CNAG_00371	0	55	3	993	0	87	3	1135
CNAG_00372	2	2361	4	2235	0	62	6	4658
CNAG_00373	3	390	1	1590	0	73	4	2053
CNAG_00374	0	124	2	1752	0	28	2	1904
CNAG_00375	0	105	0	2379	0	194	0	2678
CNAG_00377	0	251	3	3939	0	217	3	4407
CNAG_00378	1	1322	1	357	0	110	2	1789
CNAG_00383	0	149	8	3990	0	49	8	4188
CNAG_00384	1	37	2	1170	0	250	3	1457
CNAG_00385	0	63	1	633	0	104	1	800
CNAG_00386	0	106	7	3510	0	66	7	3682
CNAG_00387	0	59	1	2238	0	88	1	2385
CNAG_00388	0	25	7	2535	0	163	7	2723
CNAG_00389	0	21	1	1122	0	6	1	1149
CNAG_00390	0	87	2	2358	0	396	2	2841
CNAG_00391	1	48	1	948	0	35	2	1031
CNAG_00392	0	42	0	1404	0	79	0	1525
CNAG_00393	1	78	1	2049	0	92	2	2219
CNAG_00394	0	196	1	462	0	162	1	820
CNAG_00395	0	130	1	1380	0	769	1	2279
CNAG_00396	1	540	1	1548	1	436	3	2524
CNAG_00397	0	257	0	1344	0	62	0	1663
CNAG_00398	1	214	1	831	1	166	3	1211
CNAG_00399	0	333	2	930	0	117	2	1380
CNAG_00400	1	349	0	438	0	47	1	834
CNAG_00401	0	101	3	1326	2	541	5	1968
CNAG_00402	2	352	4	4485	0	129	6	4966
CNAG_00403	1	90	2	1734	0	80	3	1904
CNAG_00404	0	33	3	1920	0	343	3	2296
CNAG_00405	0	22	3	2754	0	36	3	2812
CNAG_00406	0	91	3	2697	0	111	3	2899
CNAG_00407	3	314	4	1995	1	267	8	2576
CNAG_00408	0	227	0	930	0	40	0	1197
CNAG_00409	3	212	3	1095	0	97	6	1404
CNAG_00410	0	106	3	2268	0	223	3	2597
CNAG_00411	0	42	1	1479	0	45	1	1566
CNAG_00413	1	90	3	2037	0	131	4	2258
CNAG_00414	0	77	1	1128	0	62	1	1267
CNAG_00415	0	113	3	1503	0	26	3	1642
CNAG_00416	0	83	1	2301	0	64	1	2448
CNAG_00417	0	62	4	1260	0	122	4	1444
CNAG_00418	1	108	0	1194	2	394	3	1696
CNAG_00419	0	244	0	1269	0	75	0	1588
CNAG_00420	0	181	1	288	0	106	1	575
CNAG_00421	0	94	0	639	0	109	0	842
CNAG_00422	0	80	4	3336	0	96	4	3512
CNAG_00423	0	103	1	672	1	91	2	866
CNAG_00424	0	69	2	1362	0	96	2	1527
CNAG_00425	0	79	3	774	0	15	3	868
CNAG_00426	0	31	1	2385	0	77	1	2493
CNAG_00427	0	29	2	1821	0	94	2	1944
CNAG_00428	0	46	8	1224	0	79	8	1349
CNAG_00429	0	195	1	1848	1	122	2	2165
CNAG_00430	0	40	1	741	0	125	1	906
CNAG_00433	2	698	4	1962	0	256	6	2916
CNAG_00434	0	64	3	1149	0	40	3	1253
CNAG_00435	2	563	1	852	0	168	3	1583
CNAG_00436	0	157	7	2331	0	141	7	2629
CNAG_00437	0	79	0	495	0	111	0	685
CNAG_00438	0	36	1	918	4	957	5	1911
CNAG_00439	0	76	9	3123	0	120	9	3319
CNAG_00440	0	79	1	1317	0	143	1	1539
CNAG_00441	0	91	3	1635	0	125	3	1851
CNAG_00442	1	290	0	1281	1	204	2	1775
CNAG_00443	1	63	6	1539	0	55	7	1657
CNAG_00444	1	406	1	153	0	142	2	701
CNAG_00445	3	359	3	2784	0	272	6	3415
CNAG_00446	0	0	3	873	0	0	3	873
CNAG_00447	0	39	2	1572	0	108	2	1719
CNAG_00448	0	208	1	1071	0	94	1	1373
CNAG_00449	0	67	2	1482	0	107	2	1656
CNAG_00450	0	44	1	1122	0	77	1	1243
CNAG_00451	0	88	4	1572	0	93	4	1753
CNAG_00452	0	27	0	1275	0	291	0	1593
CNAG_00453	0	137	0	699	0	152	0	988
CNAG_00454	0	152	0	393	0	283	0	828
CNAG_00455	0	130	2	1935	0	178	2	2243
CNAG_00456	0	146	5	1755	1	315	6	2216
CNAG_00457	7	441	4	1077	2	206	13	1724
CNAG_00458	0	133	4	1287	0	92	4	1512
CNAG_00460	0	85	1	1314	2	318	3	1717
CNAG_00461	0	111	3	1674	1	138	4	1923
CNAG_00462	0	84	4	1848	1	796	5	2728
CNAG_00463	0	0	2	423	0	0	2	423
CNAG_00464	0	74	4	3654	0	96	4	3824
CNAG_00465	0	173	0	240	0	281	0	694
CNAG_00466	0	79	0	609	0	66	0	754
CNAG_00467	0	17	2	888	1	359	3	1264
CNAG_00468	0	143	6	1767	0	30	6	1940
CNAG_00469	0	143	8	1056	0	85	8	1284
CNAG_00470	0	42	0	609	0	76	0	727
CNAG_00471	0	128	1	561	0	75	1	764
CNAG_00472	1	63	2	1239	0	174	3	1476
CNAG_00473	0	80	1	372	0	38	1	490
CNAG_00474	0	230	0	903	0	76	0	1209
CNAG_00475	7	643	7	2340	0	133	14	3116
CNAG_00476	1	118	2	1620	0	60	3	1798
CNAG_00480	4	1483	0	1191	0	452	4	3126
CNAG_00481	0	107	3	1692	0	129	3	1928
CNAG_00482	0	37	2	1116	0	49	2	1202
CNAG_00483	0	90	5	1134	1	243	6	1467
CNAG_00484	0	79	8	1959	0	54	8	2092
CNAG_00485	0	97	0	1050	0	160	0	1307
CNAG_00486	0	91	2	528	1	76	3	695
CNAG_00487	0	0	3	1737	0	170	3	1907
CNAG_00488	0	150	3	1272	0	159	3	1581
CNAG_00490	0	533	2	1248	0	79	2	1860
CNAG_00491	0	92	1	693	0	28	1	813
CNAG_00492	2	409	2	1965	0	95	4	2469
CNAG_00493	1	626	2	2919	4	506	7	4051
CNAG_00495	0	69	0	513	0	109	0	691
CNAG_00496	0	80	1	1488	1	79	2	1647
CNAG_00497	0	94	9	2448	0	146	9	2688
CNAG_00498	1	368	2	2301	3	342	6	3011
CNAG_00499	0	156	2	948	0	76	2	1180
CNAG_00500	0	181	2	1470	1	203	3	1854
CNAG_00501	1	535	5	1362	0	29	6	1926
CNAG_00502	0	123	3	321	0	76	3	520
CNAG_00503	0	118	1	1092	0	156	1	1366
CNAG_00504	0	32	0	1542	0	49	0	1623
CNAG_00505	0	113	3	1917	0	85	3	2115
CNAG_00506	0	78	1	2031	0	81	1	2190
CNAG_00508	1	33	6	2457	0	149	7	2639
CNAG_00509	1	78	6	1332	0	80	7	1490
CNAG_00510	0	62	0	354	0	58	0	474
CNAG_00511	0	3	3	1425	0	407	3	1835
CNAG_00512	0	51	5	1314	0	33	5	1398
CNAG_00513	0	53	1	1374	0	77	1	1504
CNAG_00514	1	99	1	2598	0	153	2	2850
CNAG_00515	0	510	1	1053	0	85	1	1648
CNAG_00516	0	25	2	1002	0	429	2	1456
CNAG_00517	0	220	1	675	0	198	1	1093
CNAG_00519	5	617	1	987	1	282	7	1886
CNAG_00520	1	259	6	4926	0	209	7	5394
CNAG_00521	0	16	10	1875	0	180	10	2071
CNAG_00522	0	61	3	3249	0	146	3	3456
CNAG_00523	1	128	2	921	0	321	3	1370
CNAG_00524	0	166	4	1236	0	94	4	1496
CNAG_00525	0	116	4	1833	0	1795	4	3744
CNAG_00526	0	235	0	876	0	115	0	1226
CNAG_00527	0	68	8	2274	0	51	8	2393
CNAG_00528	0	89	3	2079	0	140	3	2308
CNAG_00529	0	296	3	1521	0	84	3	1901
CNAG_00531	1	24	10	3276	0	160	11	3460
CNAG_00532	1	193	1	843	0	226	2	1262
CNAG_00533	0	60	7	1548	0	249	7	1857
CNAG_00534	0	58	0	231	0	109	0	398
CNAG_00535	0	80	4	765	0	76	4	921
CNAG_00536	0	109	0	258	1	235	1	602
CNAG_00537	0	121	1	1893	0	190	1	2204
CNAG_00538	0	118	0	237	0	118	0	473
CNAG_00539	0	159	7	1788	0	156	7	2103
CNAG_00540	0	328	3	1641	0	213	3	2182
CNAG_00541	0	257	2	1671	1	301	3	2229
CNAG_00542	0	353	1	1341	0	90	1	1784
CNAG_00543	2	75	0	651	0	128	2	854
CNAG_00544	4	642	5	1629	0	53	9	2324
CNAG_00545	1	57	11	5925	0	110	12	6092
CNAG_00546	1	1012	5	3816	0	170	6	4998
CNAG_00547	0	58	8	4071	0	273	8	4402
CNAG_00549	0	44	3	1185	0	41	3	1270
CNAG_00550	4	94	3	2370	1	454	8	2918
CNAG_00551	0	213	0	1935	1	305	1	2453
CNAG_00554	0	196	8	1590	0	206	8	1992
CNAG_00555	2	272	3	1404	0	112	5	1788
CNAG_00556	2	240	1	1380	1	345	4	1965
CNAG_00557	1	155	0	288	0	203	1	646
CNAG_00558	7	1481	5	2121	0	360	12	3962
CNAG_00559	0	152	5	906	0	202	5	1260
CNAG_00560	0	79	0	684	0	151	0	914
CNAG_00561	2	198	1	1251	0	107	3	1556
CNAG_00562	3	133	4	966	0	98	7	1197
CNAG_00563	0	65	1	825	0	544	1	1434
CNAG_00564	2	395	2	1683	1	324	5	2402
CNAG_00565	0	145	5	2085	0	91	5	2321
CNAG_00566	2	114	7	2817	0	80	9	3011
CNAG_00567	0	85	1	1113	0	64	1	1262
CNAG_00568	1	314	2	888	0	386	3	1588
CNAG_00569	0	103	2	1656	0	157	2	1916
CNAG_00570	0	55	4	1449	1	88	5	1592
CNAG_00571	0	147	1	2163	0	145	1	2455
CNAG_00572	1	130	7	2400	0	76	8	2606
CNAG_00573	1	123	0	396	0	63	1	582
CNAG_00574	0	523	7	2319	0	217	7	3059
CNAG_00576	2	55	2	1068	0	60	4	1183
CNAG_00577	1	152	0	603	3	733	4	1488
CNAG_00580	0	92	7	2634	0	50	7	2776
CNAG_00581	1	90	4	1317	0	150	5	1557
CNAG_00582	1	226	0	372	1	326	2	924
CNAG_00583	0	234	8	3327	1	422	9	3983
CNAG_00584	0	113	0	384	2	207	2	704
CNAG_00585	0	156	1	882	0	183	1	1221
CNAG_00586	0	109	0	330	0	186	0	625
CNAG_00587	1	443	1	558	0	93	2	1094
CNAG_00588	0	339	1	516	1	198	2	1053
CNAG_00589	1	102	0	765	1	1342	2	2209
CNAG_00590	0	27	9	2430	0	104	9	2561
CNAG_00591	0	300	3	963	1	738	4	2001
CNAG_00592	0	47	4	891	1	80	5	1018
CNAG_00593	0	54	3	888	6	816	9	1758
CNAG_00594	1	473	7	1959	0	230	8	2662
CNAG_00595	0	98	4	1227	0	71	4	1396
CNAG_00596	0	295	0	1128	0	110	0	1533
CNAG_00597	1	1006	2	1692	0	104	3	2802
